sample,time,ecg_channel1,ecg_channel2,heart_rate
0,0.0,-0.00035728428243805203,0.03694651232835666,75.0
1,0.004,-0.012577264675400822,0.03567717244548383,75.0
2,0.008,0.005502760250750482,0.012485284599381535,75.0
3,0.012,-0.0067577037449302714,0.009952484461713592,75.0
4,0.016,0.06338240020353751,0.03405029546145874,75.0
5,0.02,0.07949773257920831,0.0060512237726692494,75.0
6,0.024,0.07951163581066562,0.02596588439550319,75.0
7,0.028,0.08702228815303106,0.10686282013002983,75.0
8,0.032,0.09293400744612615,0.1162862833852964,75.0
9,0.036,0.07252221899599288,0.0839658992144903,75.0
10,0.04,0.05869487024956408,0.1438403632460853,75.0
11,0.044,0.10067832667775711,0.0846114976625126,75.0
12,0.048,0.08533358186413718,0.10761588140109778,75.0
13,0.052,0.1357373150347628,0.10308819075982881,75.0
14,0.056,0.16109695910048977,0.1372488969171142,75.0
15,0.06,0.09200338225888065,0.113981838552331,75.0
16,0.064,0.09320944163265445,0.14276810989963165,75.0
17,0.068,0.12167695355918635,0.11275184064539487,75.0
18,0.072,0.10721860690451816,0.1066195724274401,75.0
19,0.076,0.11563350019401375,0.14540458676418333,75.0
20,0.08,0.09711961403830788,0.12529192469399936,75.0
21,0.084,0.12166637687722869,0.12699354144388753,75.0
22,0.088,0.10628719752758882,0.07358954394600266,75.0
23,0.092,0.08436931394628341,0.05596022216896173,75.0
24,0.096,0.07389242996939115,0.05024615122172317,75.0
25,0.1,0.05753647810088968,0.10073630585874341,75.0
26,0.104,0.07994056799828378,0.08916390663525335,75.0
27,0.108,0.04570540047791704,0.04802118947722403,75.0
28,0.112,0.06651949906213007,0.07445696802251102,75.0
29,0.116,0.08169833043422339,0.012799816233654735,75.0
30,0.12,-0.01533762632617852,-0.04931315790698704,75.0
31,0.124,-0.13535277006259794,-0.11552249338712736,75.0
32,0.128,-0.16180222668666236,-0.10546251048290987,75.0
33,0.132,-0.10098314408952977,-0.09985200652277064,75.0
34,0.136,0.3491450378612115,0.3358757300452713,75.0
35,0.14,0.7564609997393035,0.7007154226563889,75.0
36,0.144,0.9191263658268503,0.9194965386975149,75.0
37,0.148,0.7458383426395752,0.7513084185900109,75.0
38,0.152,0.3600434881867491,0.3653418677425515,75.0
39,0.156,0.12273367297029493,0.14887053821593588,75.0
40,0.16,0.09147839590970112,0.06543017203048944,75.0
41,0.164,0.021399129693897602,0.031653807973705324,75.0
42,0.168,-0.06127216463377281,-0.06807974892229292,75.0
43,0.172,-0.17306822018634335,-0.17844792653102803,75.0
44,0.176,-0.2320972943148667,-0.23274628683157872,75.0
45,0.18,-0.14872229488596636,-0.15907677469379453,75.0
