time,amplitude
0.0,0.0038629548963940597
0.002,0.006678707166444578
0.004,0.014422396421256558
0.006,0.001747444901689302
0.008,0.03926841935395218
0.01,-0.0002376582171376973
0.012,0.034620604242638665
0.014,0.03852323276832414
0.016,0.05848485600478643
0.018,0.030741362774268442
0.02,0.045321402397664495
0.022,0.05617631421076586
0.024,0.049005740961884696
0.026,0.07811801798359592
0.028,0.08246427960384167
0.03,0.06795822303955219
0.032,0.071331426371318
0.034,0.10716762708197433
0.036,0.09609352146803854
0.038,0.1121306141582491
0.04,0.10754374048587384
0.042,0.11022186259370526
0.044,0.08945483357962083
0.046,0.10286244723729651
0.048,0.12005058600104859
0.05,0.10409420747221301
0.052,0.12147997425934481
0.054,0.11541775695651514
0.056,0.096969271543291
0.058,0.08726512396238521
0.06,0.11681023491756365
0.062,0.0966289867507078
0.064,0.09861759537318479
0.066,0.10932745663104719
0.068,0.08114448849329924
0.07,0.11201092145368927
0.072,0.09173413314809943
0.074,0.07463545781350789
0.076,0.0822028658188586
0.078,0.07992134312128354
0.08,0.0804325715309445
0.082,0.07772843940986864
0.084,0.08012912501800522
0.086,0.07804583307643148
0.088,0.04859151148196937
0.09,0.04597419737020575
0.092,0.05014950515457857
0.094,0.05978372147967681
0.096,0.04212529522918918
0.098,0.027619331933830822
0.1,-0.038347579445330376
0.102,-0.1129704268475567
0.104,-0.15502968477813897
0.106,-0.16616399139781263
0.108,-0.15511216327403302
0.11,-0.120816977901515
0.112,-0.05885808239811588
0.114,0.4617291459990779
0.116,0.6705184005716941
0.118,0.8927970369916133
0.12,0.976982239166798
0.122,0.8836195928850804
0.124,0.690864168532219
0.126,0.4514016810518725
0.128,0.2569822625004837
0.13,0.13320884638939837
0.132,0.07576458533742877
0.134,0.011822806188919557
0.136,0.026842270032327736
0.138,-0.02848386551075045
0.14,-0.06363664918105805
0.142,-0.1348787659242671
0.144,-0.1750326938914634
0.146,-0.2608238203603864
0.148,-0.2363039605636781
0.15,-0.19438606467969657
0.152,-0.13153366133463265
0.154,-0.0562859741203621
0.156,0.018025807956493795
0.158,0.01322958432576685
0.16,0.04645785594194836
0.162,0.06446333879929274
0.164,0.03339211735066455
0.166,0.05295582595921155
0.168,0.03319180957527192
0.17,0.07472211146180631
0.172,0.04455506815039777
0.174,0.0735733445981096
0.176,0.05524508543508987
0.178,0.08190068539602728
