t,signal
0.0,0.002673193872271121
0.004,0.03209702148841112
0.008,0.03859218170750533
0.012,0.021577193662010406
0.016,0.04441788767381606
0.02,0.043668312136756364
0.024,0.04760535686486797
0.028,0.05979170369641716
0.032,0.08606678760363949
0.036,0.06411471259632284
0.04,0.09290111560739578
0.044,0.07717596502769856
0.048,0.1272005509437176
0.052,0.09322831442692532
0.056,0.10920795930367758
0.06,0.11687397246673178
0.064,0.08002653062803382
0.068,0.10150549419405404
0.072,0.08082224648323606
0.076,0.11798445450191099
0.08,0.10263759674016781
0.084,0.09640427328578992
0.088,0.09310239898868332
0.092,0.11064822325615674
0.096,0.08185391589391938
0.1,0.04667867080447957
0.104,0.05990332362529118
0.108,0.04726693065407845
0.112,0.09332501589163476
0.116,0.062082934994957116
0.12,0.05924067082371911
0.124,0.041041475129866764
0.128,0.03725664038502572
0.132,-0.09282918473497813
0.136,-0.14847084057612708
0.14,-0.10825524584125164
0.144,-0.05389654580389007
0.148,0.5514315933509807
0.152,0.8494483143025088
0.156,0.854004240323693
0.16,0.6100326178782712
0.164,0.25502736678200477
0.168,0.09913153687703946
0.172,0.037430846117723945
0.176,0.02652569021085633
0.18,-0.06687389576875363
0.184,-0.16905592181688503
0.188,-0.1832380185653579
0.192,-0.1943311489445801
0.196,-0.06450906384276159
0.2,-0.01251639752237011
0.204,0.03507320181413633
0.208,0.03826838894354549
0.212,0.05711964830641153
0.216,0.050954076747530976
0.22,0.10064079012430747
0.224,0.06450382012659868
0.228,0.07946224515791914
0.232,0.08746498057949602
0.236,0.10181468989749108
0.24,0.09384265273496885
0.244,0.15143713557034702
0.248,0.10787391150772342
0.252,0.11302976137631239
0.256,0.1477571308254089
0.26,0.15446299910743558
0.264,0.1347051222709841
0.268,0.20028705851486736
0.272,0.18368093447839784
0.276,0.19233182951878244
0.28,0.24073698148518585
0.284,0.22003237874673007
0.288,0.2489795849745789
0.292,0.2620897138282642
0.296,0.26339225611479194
0.3,0.2758967752298306
0.304,0.3188685795410427
0.308,0.2947016408022231
0.312,0.30305541609795084
0.316,0.304262284899072
0.32,0.31978346181916933
0.324,0.3303630041749284
0.328,0.32555684315782246
0.332,0.33757628354324604
0.336,0.3674401424741747
0.34,0.34158326224794555
0.344,0.3470090006813445
0.348,0.3722601215860926
0.352,0.31044040503759746
0.356,0.33578723644514075
0.36,0.3455583336370434
0.364,0.3269195255001803
0.368,0.29489762931744035
0.372,0.3215538648908852
0.376,0.2924659555412976
0.38,0.2985019560958883
0.384,0.26190105261671176
0.388,0.2944412595020779
0.392,0.2553424501861296
0.396,0.2590381818132369
0.4,0.2196036684586171
0.404,0.23769774977920471
0.408,0.24168090701089864
0.412,0.2511703565327476
0.416,0.1831073868326793
0.42,0.2206995743420643
0.424,0.1890175062292784
0.428,0.1735446231335263
0.432,0.1831496336888789
0.436,0.12700916854108868
0.44,0.1450548574177471
0.444,0.1663733937372645
0.448,0.10214853649176782
0.452,0.10551173424796031
0.456,0.10489733357605915
0.46,0.06258679536142202
0.464,0.06978225227638764
0.468,0.07088718054372763
0.472,0.06460743149853211
0.476,0.08871796823624711
0.48,0.1179819105747038
0.484,0.10148005678441013
0.488,0.08321408629641265
0.492,0.07915429742049508
0.496,0.09006089208275617
0.5,0.0959956010468582
0.504,0.09820633262480054
0.508,0.06796829541500593
0.512,0.11494434247149511
0.516,0.06985909951966675
0.52,0.1287451722042087
0.524,0.10131064357262581
0.528,0.09030388127003525
0.532,0.06920587661883407
0.536,0.11932770280856737
0.54,0.10139146654187721
0.544,0.07171958846153903
0.548,0.09883669304247483
0.552,0.08154720136749241
0.556,0.08425588100114698
0.56,0.09839192535213696
0.564,0.08190329539187156
0.568,0.06721030993944453
0.572,0.08813746427489032
